Total Score,1-A,1-B,2-A-1,2-A-2,2-B,2-C-1,2-C-2,2-C-3,3-A,3-B-1,3-B-2,3-B-3,4-A-1,4-A-2,4-B,4-C-1,4-C-2,5-A,5-B
60,4,4,2,2,3,2,2,3,3,4,1,2,2,2,3,4,3,7,7
59.75,4,4,2,2,3,2,2,3,3,4,1,2,2,1.75,3,4,3,7,7
59.75,4,4,2,2,3,2,2,3,3,4,1,2,2,1.75,3,4,3,7,7
59.75,4,4,2,2,3,2,2,3,3,4,1,2,2,1.75,3,4,3,7,7
59.25,4,4,2,2,3,2,2,3,3,4,1,2,2,1.5,3,4,3,6.75,7
59,4,4,2,2,2.5,2,2,3,3,4,1,2,2,1.75,3,4,3,6.75,7
58.5,4,4,2,2,3,2,2,3,3,4,1,2,2,1.5,3,3.75,2.75,6.75,6.75
58.5,4,4,2,2,3,2,2,3,3,4,1,2,2,2,3,4,3,5.5,7
58.5,4,4,2,2,3,2,2,3,3,4,1,2,2,2,3,4,3,5.5,7
58.5,4,4,2,2,3,2,2,3,3,4,1,2,2,2,3,4,3,5.5,7
58.5,4,4,2,2,3,2,2,3,3,4,1,2,2,2,3,4,3,5.5,7
58,4,4,2,2,2.5,2,2,3,3,4,1,2,2,2,3,4,3,5.5,7
57.75,4,4,2,2,3,2,2,3,3,3.75,1,2,2,0,3,4,3,7,7
57.5,4,4,2,2,3,2,2,3,3,4,1,2,2,2,1.5,4,3,7,6
57,2.25,4,2,2,3,2,2,3,3,4,1,2,2,1.75,3,4,3,6,7
56.75,4,4,2,2,3,2,2,3,3,2.5,1,2,2,2,3,4,3,5.5,6.75
56.5,4,1,2,2,3,2,1.5,3,3,4,1,2,2,2,3,4,3,7,7
56.5,2.25,4,2,2,3,2,2,3,3,4,1,2,2,1.75,3,4,3,5.5,7
56.5,4,4,2,2,2.5,2,2,3,3,4,1,2,2,2,3,4,3,7,4
55.75,4,2,2,2,3,1.5,2,3,3,4,1,2,2,2,3,4,3,5.5,6.75
55.75,4,4,2,2,3,2,2,3,3,0.25,1,2,2,1.5,3,4,3,7,7
55.75,4,1,2,2,3,2,2,2.5,3,4,1,2,2,1.5,3,4,3,6.75,7
55.25,4,1,2,2,3,2,2,3,3,4,1,2,2,1.75,3,4,3,5.5,7
55.25,4,1,2,2,3,2,2,3,3,4,1,2,2,2,3,4,3,5.5,6.75
55.25,4,1,2,2,3,2,2,3,3,4,1,2,2,2,3,3.75,2.75,6,6.75
54.75,4,1,2,2,3,2,2,3,3,4,1,2,2,0,3,4,3,6.75,7
