"Dormancy","Eruption"
76,"Long"
80,"Long"
84,"Long"
50,"Short"
93,"Long"
55,"Short"
76,"Long"
58,"Short"
74,"Long"
75,"Long"
80,"Long"
56,"Short"
80,"Long"
69,"Long"
57,"Long"
90,"Long"
42,"Short"
91,"Long"
51,"Short"
79,"Long"
53,"Short"
82,"Long"
51,"Short"
76,"Long"
82,"Long"
84,"Long"
53,"Short"
86,"Long"
51,"Short"
85,"Long"
45,"Short"
88,"Long"
51,"Short"
80,"Long"
49,"Short"
82,"Long"
75,"Long"
73,"Long"
67,"Long"
68,"Long"
86,"Long"
72,"Long"
75,"Long"
75,"Long"
66,"Short"
84,"Long"
70,"Long"
79,"Long"
60,"Long"
86,"Long"
71,"Long"
67,"Short"
81,"Long"
76,"Long"
83,"Long"
76,"Long"
55,"Short"
73,"Long"
56,"Short"
83,"Long"
